,title,work experience,salary,region
0,"Разработчик DevOps - Отдел роботизации процессов, внедрения мобильных ботов и технологии реальности",3–6 лет,,
1,Разработчик сетевого ПО / BackEnd,3–6 лет,от 150 000 руб. на руки,
2,Разработчик Solidity/Разработчик Rust/Разработчик Go/Разработчик python(удаленно),3–6 лет,от 600 000 руб. на руки,Москва
3,Программист Python,1–3 года,от 80 000 до 90 000 руб. на руки,Москва
4,Junior Программист/Разработчик Python,1–3 года,от 60 000 руб. на руки,
5,Разработчик C# / Python,3–6 лет,от 300 000 до 500 000 руб. на руки,
6,Программист-разработчик (Python),не требуется,от 60 000 до 70 000 руб. на руки,
7,Разработчик Python,1–3 года,,
8,Python разработчик,3–6 лет,от 230 000 руб. на руки,Москва
9,Python developer (Middle),3–6 лет,от 300 000 до 360 000 руб. на руки,
10,"Программист Python, удаленно",1–3 года,от 170 000 руб. на руки,
11,Backend Python Developer,3–6 лет,,Москва
12,Python Developer (Remote),3–6 лет,от 200 000 до 350 000 руб. на руки,Москва
13,Python разработчик,1–3 года,от 150 000 руб. на руки,
14,Разработчик (Backend developer / Python),1–3 года,от 100 000 до 150 000 руб. на руки,
15,Python Developer + ML,3–6 лет,,
16,Python-разработчик,1–3 года,,Санкт-Петербург
17,Backend Develover/ Программист-разработчик Python,1–3 года,от 100 000 до 200 000 руб. на руки,
18,Python-разработчик в R&D отдел,1–3 года,от 100 000 до 150 000 руб. на руки,
19,Low-code developer (Python),1–3 года,от 60 000 руб. на руки,
20,Python разработчик,1–3 года,,
21,Python Developer (Middle/Senior),3–6 лет,от 2 000 до 4 000 USD на руки,Алматы
22,Python-разработчик (junior),не требуется,,
23,Backend-разработчик Django DRF Python,3–6 лет,от 100 000 до 200 000 руб. на руки,
24,Python разработчик,3–6 лет,от 90 000 руб. на руки,
25,Python developer,1–3 года,от 40 000 до 120 000 руб. на руки,Уфа
26,Python Developer (Middle/Senior),3–6 лет,от 2 000 до 4 000 USD на руки,Бишкек
27,Разработчик Python,1–3 года,,Бишкек
28,Python Developer (Remote),3–6 лет,от 200 000 до 350 000 руб. на руки,Нижний Новгород
29,Python Developer (Middle/Senior),3–6 лет,от 2 000 до 4 000 USD на руки,Ташкент
30,Программист Python,1–3 года,,
31,Программист Python,3–6 лет,,Казань
32,Python Developer (Remote),3–6 лет,от 200 000 до 350 000 руб. на руки,Санкт-Петербург
33,Python developer (проект с нуля),1–3 года,от 170 000 руб. на руки,Москва
34,Junior Python developer,1–3 года,,
35,Разработчик Python (Senior/Principal),3–6 лет,от 200 000 до 350 000 руб. на руки,
36,Python - разработчик,1–3 года,,Казань
37,Python Backend разработчик/программист,1–3 года,от 70 000 руб. на руки,
38,Младший python-разработчик,1–3 года,,
39,Junior Python developer (Казань),1–3 года,от 70 000 руб. на руки,
40,Python разработчик,1–3 года,от 120 000 руб. на руки,
41,Программист Python,1–3 года,,Москва
42,Программист Python,1–3 года,от 50 000 до 90 000 руб. на руки,
43,Backend-разработчик стажер Rust,не требуется,до 35 000 руб. на руки,Москва
44,Программист тестировщик Python,не требуется,от 30 000 до 80 000 руб. на руки,
45,"Python Django разработчик, удаленно",3–6 лет,,Екатеринбург
46,Python developer (backend),3–6 лет,,
47,Python developer (Senior),3–6 лет,от 360 000 до 480 000 руб. на руки,
48,Backend разработчик (Python),1–3 года,,Иркутск
49,Разработчик Python,3–6 лет,от 120 000 руб. на руки,
50,Бэкенд-разработчик Python (Junior+),1–3 года,,
51,Разработчик Python в команду Data&AI,3–6 лет,,Алматы
52,Разработчик на Python,3–6 лет,,Москва
53,Middle Python developer (Казань),1–3 года,от 150 000 руб. на руки,
54,Python-разработчик (Middle/Senior),3–6 лет,от 120 000 до 190 000 руб. на руки,Самара
55,Разработчик Python,3–6 лет,от 70 000 до 160 000 руб. на руки,
56,Программист-разработчик Middle\Senior на Python,1–3 года,от 100 000 до 400 000 руб. на руки,
57,Разработчик Python,не требуется,от 30 000 до 80 000 руб. на руки,
58,Backend разработчик,1–3 года,от 120 000 до 220 000 руб. на руки,"Москва, Проспект Вернадского"
59,Python-разработчик (backend),1–3 года,,Москва
60,Python-разработчик систем сбора,1–3 года,от 100 000 до 150 000 руб. на руки,
61,Программист Python,1–3 года,от 90 000 руб. на руки,Ярославль
62,Backend-разработчик,3–6 лет,от 3 500 USD на руки,
63,Разработчик Python,более 6 лет,от 350 000 руб. на руки,Москва
64,Программист Python,1–3 года,от 80 000 до 130 000 руб. на руки,
65,Backend разработчик,1–3 года,,Астана
66,Python-разработчик в R&D отдел,1–3 года,от 100 000 до 150 000 руб. на руки,
67,Back-end developer (Python / Golang),1–3 года,от 1 500 до 3 500 USD на руки,
68,Middle Python разработчик,1–3 года,от 100 000 до 200 000 руб. на руки,
69,Разработчик Python,3–6 лет,от 150 000 до 350 000 руб. на руки,
70,Python Backend Developer,1–3 года,,Армения
71,Middle Python разработчик,не требуется,от 100 000 до 200 000 руб. на руки,
72,"Python Django разработчик, удаленно",3–6 лет,,Самара
73,Python Developer,1–3 года,,Воронеж
74,Разработчик Python,1–3 года,до 250 000 руб. на руки,
75,Разработчик Python,3–6 лет,от 80 000 до 120 000 руб. на руки,
76,Python Developer,3–6 лет,от 100 000 до 250 000 руб. на руки,Москва
77,Junior Python разработчик (Django),не требуется,,
78,Разработчик Python,1–3 года,,Саратов
79,Разработчик Python (Рекламная платформа),1–3 года,,
80,Разработчик Python (Рекламная платформа),1–3 года,,
81,Senior Python разработчик,3–6 лет,от 250 000 до 300 000 руб. на руки,Москва
82,Python-разработчик (Junior+),1–3 года,от 80 000 до 120 000 руб. на руки,
83,Программист Python,1–3 года,,
84,"Разработчик Python, удаленно",1–3 года,,Санкт-Петербург
85,Team Lead Python,3–6 лет,от 350 000 до 400 000 руб. на руки,Москва
86,Программист-разработчик,1–3 года,от 50 000 до 100 000 руб. на руки,
87,Программист Python,3–6 лет,,Москва
88,Python-разработчик систем сбора,1–3 года,от 100 000 до 150 000 руб. на руки,
89,Python-developer (Кипр),3–6 лет,,Москва
90,АККРЕДИТОВАННАЯ КОМПАНИЯ Программист Python (прикладная математика),не требуется,,
91,Backend web developer PHP/Python,1–3 года,,Томск
92,Backend (Python) разработчик,1–3 года,,
93,Python разработчик,1–3 года,,
94,Python разработчик (личный кабинет пользователя),3–6 лет,,Москва
95,Программист Python,1–3 года,,Новосибирск
96,Программист-разработчик Python,3–6 лет,,
97,Python разработчик,1–3 года,,Москва
98,Backend-разработчик Python middle+ / senior,3–6 лет,,Москва
99,Python-разработчик,1–3 года,,Москва
100,Python Developer,1–3 года,от 150 000 до 250 000 руб. на руки,
101,Разработчик Python,3–6 лет,,Москва
102,Python Backend разработчик/программист,1–3 года,от 70 000 руб. на руки,
103,Программист Python,3–6 лет,,Москва
104,Программист-разработчик Python,3–6 лет,,
105,Middle Python Developer,1–3 года,от 130 000 до 250 000 руб. на руки,Москва
106,Разработчик Python (Рекламная платформа),1–3 года,,
107,Программист Python,1–3 года,от 90 000 руб. на руки,Ярославль
108,Ведущий программист Python,3–6 лет,,
109,Junior Python developer,1–3 года,до 50 000 руб. на руки,
110,Руководитель веб-разработки на Python,3–6 лет,от 150 000 до 250 000 руб. на руки,Москва
111,Разработчик Python,1–3 года,до 250 000 руб. на руки,
112,Python Developer,1–3 года,,Минск
113,Middle Python Developer (микросервисная архитектура),1–3 года,от 2 500 до 3 000 USD на руки,Тбилиси
114,"Backend Developer (Python, DDoS)",3–6 лет,,Москва
115,Python разработчик,1–3 года,,Москва
116,Python developer,1–3 года,от 100 000 руб. на руки,
117,Senior Python developer,3–6 лет,от 210 000 до 300 000 руб. на руки,
118,Python разработчик,1–3 года,,
119,Python developer (Core команда),3–6 лет,,
120,Python разработчик,1–3 года,от 100 000 до 120 000 руб. на руки,"Москва, Авиамоторная, Авиамоторная, Лефортово"
121,Программист Python,более 6 лет,,"Москва, Каланчёвская, Проспект Мира, Сухаревская"
122,Программист Python (Senior),более 6 лет,от 300 000 руб. на руки,Москва
123,Разработчик Python,3–6 лет,от 60 000 до 120 000 руб. на руки,
124,Аналитик данных / Data Analyst,1–3 года,от 60 000 до 90 000 руб. на руки,Москва
125,Python developer (проекты),3–6 лет,,
126,Разработчик Python / Django Developer (middle/senior),1–3 года,,
127,Разработчик бэкенда (Python),3–6 лет,,Москва
128,"Backend Developer (Python, DDoS)",3–6 лет,,Москва
129,Python Developer,1–3 года,,
130,Middle Python Developer,1–3 года,от 130 000 до 250 000 руб. на руки,Москва
131,C++ Developer (Berlin),не требуется,до 10 000 EUR на руки,Москва
132,Middle Python Developer (микросервисная архитектура),1–3 года,от 2 500 до 3 000 USD на руки,Тбилиси
133,Python/С++ разработчик,3–6 лет,,Новосибирск
134,Разработчик чат-ботов в Telegram (Python),1–3 года,,Санкт-Петербург
135,Python developer,3–6 лет,,
136,Python-разработчик (FastAPI+Django),1–3 года,,
137,Разработчик ИСУ (SQL/Python),1–3 года,,Тула
138,Младший разработчик,1–3 года,,
139,Python Developer,1–3 года,,Москва
140,Python-разработчик (внутренние проекты),1–3 года,,
141,Middle/Senior Python разработчик (удаленно),1–3 года,до 250 000 руб. на руки,Москва
142,Python Developer (Crypto),3–6 лет,от 5 000 EUR на руки,
143,Python-разработчик,3–6 лет,,Москва
144,Middle Python backend developer,3–6 лет,,
145,Программист-разработчик Python,3–6 лет,,
146,Python/Django разработчик,3–6 лет,,Москва
147,Python-разработчик в команду клиентских сервисов,3–6 лет,,Москва
148,Senior Python разработчик,3–6 лет,от 200 000 руб. на руки,Москва
149,Python Developer,1–3 года,от 150 000 до 250 000 руб. на руки,
150,Middle Python разработчик,1–3 года,,
151,Trainee Python Developer,1–3 года,,Минск
152,С++ разработчик (junior),1–3 года,,Москва
153,Senior Python Developer,3–6 лет,,"Москва, Савёловская, Савёловская, Савёловская"
154,"Python-разработчик (middle), удаленно",1–3 года,,Москва
155,Программист Python,1–3 года,,
156,Стажер разработчик BI,не требуется,,Москва
157,Python Developer,3–6 лет,,Тбилиси
158,Fullstack Python-разработчик,3–6 лет,от 150 000 до 200 000 руб. на руки,Новосибирск
159,Python Developer,1–3 года,,Минск
160,Python-разработчик,1–3 года,,
161,ML разработчик,1–3 года,,
162,Разработчик Python,1–3 года,,Москва
163,Разработчик Python под Linux,3–6 лет,,Екатеринбург
164,"Разработчик Python, C++",3–6 лет,,Москва
165,Python-разработчик,1–3 года,,Муром
166,Fullstack Python-разработчик,3–6 лет,от 150 000 до 200 000 руб. на руки,Москва
167,Python Developer,3–6 лет,,
168,Разработчик Python,3–6 лет,,"Москва, Чертановская"
169,Python developer,1–3 года,от 100 000 руб. на руки,
170,Linux Backend Developer,3–6 лет,,
171,Python Developer (Data Science),1–3 года,от 100 000 руб. на руки,
172,Разработчик backend (python),1–3 года,,
173,Python-разработчик (FastAPI),1–3 года,,
174,Fullstack Python-разработчик,3–6 лет,от 150 000 до 200 000 руб. на руки,Тюмень
175,Junior разработчик нейросетевых алгоритмов / Reinforcement Learning,1–3 года,,
176,Разработчик/software developer Deckhouse (Remote),3–6 лет,от 250 000 до 350 000 руб. на руки,
177,Python Team Lead / Руководитель backend разработки (в аккредитованную ИТ компанию),3–6 лет,от 400 000 до 450 000 руб. на руки,
178,Python Developer,1–3 года,,Москва
179,Lead Python разработчик,3–6 лет,от 250 000 до 300 000 руб. на руки,Москва
180,Python developer,1–3 года,до 100 000 руб. на руки,
181,Middle backend Python developer,3–6 лет,от 200 000 руб. на руки,
182,Инженер-программист Java или Python,1–3 года,,
183,Разработчик Python,3–6 лет,,Москва
184,Middle/Senior Python Developer,3–6 лет,,Москва
185,Backend разработчик,1–3 года,,
186,Разработчик автотестов на Python,1–3 года,от 70 000 руб. на руки,
187,Python backend developer (middle),1–3 года,до 200 000 руб. на руки,Москва
188,Python-разработчик в команду клиентских сервисов,3–6 лет,,Томск
189,Senior Python разработчик (Django),3–6 лет,,
190,Middle Разработчик Python на платежную платформу,1–3 года,от 210 000 руб. на руки,
191,Middle/Senior Python Developer,1–3 года,,Алматы
192,Middle python разработчик,3–6 лет,от 200 000 руб. на руки,
193,Разработчик Python (middle/middle+),3–6 лет,,Москва
194,Разработчик SQL,1–3 года,,Москва
195,Middle Python developer (Сочи),1–3 года,от 150 000 руб. на руки,
196,Middle/Senior Python Developer (Office),1–3 года,,
197,Middle Python Developer (микросервисная архитектура),1–3 года,от 2 500 до 3 000 USD на руки,Астана
198,Python Web Developer (Middle),1–3 года,от 100 000 руб. на руки,
199,Программист С++ / Python,1–3 года,,
200,Backend разработчик Python (Django),3–6 лет,,
201,Python Разработчик в Яндекс Рассылки (remote),3–6 лет,,Санкт-Петербург
202,Middle Python Developer,3–6 лет,до 250 000 руб. на руки,"Москва, Белорусская, Савёловская"
203,Python-разработчик,не требуется,от 20 000 до 50 000 руб. на руки,
204,"Программист баз данных и backend (PostgreSQL, Python)",более 6 лет,,Москва
205,Junior+ Python разработчик,1–3 года,от 80 000 до 120 000 руб. на руки,Красноярск
206,Python-разработчик,1–3 года,,
207,Fullstack Python-разработчик,3–6 лет,от 150 000 до 200 000 руб. на руки,Москва
208,Python разработчик Middle/Senior,3–6 лет,от 200 000 руб. на руки,
209,Python Developer,3–6 лет,,
210,Python разработчик в CM.Expert (Яндекс Вертикали),3–6 лет,,Астана
211,Python Developer (Crypto),3–6 лет,от 5 000 до 7 000 EUR на руки,Екатеринбург
212,Ведущий Python-developer,3–6 лет,,Ярославль
213,Middle Python developer,3–6 лет,от 150 000 до 200 000 руб. на руки,
214,Инженер-программист (Python),1–3 года,,
215,Backend разработчик Python midlle,1–3 года,,
216,Senior Python-разработчик,3–6 лет,,
217,Python Developer (Data Science),1–3 года,от 100 000 руб. на руки,
218,Python Developer,3–6 лет,от 150 000 до 250 000 руб. на руки,Москва
219,Разработчик/software developer Deckhouse (Remote),3–6 лет,от 250 000 до 350 000 руб. на руки,
220,Ментор курса по Python разработке,3–6 лет,от 100 000 до 120 000 руб. на руки,Санкт-Петербург
221,Стажер-разработчик бэкенда (Python),не требуется,,Новосибирск
222,Python разработчик в CM.Expert (Яндекс Вертикали),3–6 лет,,Астана
223,Middle/Senior Python Developer,3–6 лет,,Москва
224,Linux Backend Developer,3–6 лет,,
225,Senior Python developer,3–6 лет,от 210 000 до 300 000 руб. на руки,
226,Стажер-разработчик (Machine Learning),не требуется,,Москва
227,Python разработчик,3–6 лет,,Нижний Новгород
228,Senior Python Developer,3–6 лет,,Алматы
229,Research Developer (Python),1–3 года,,
230,Middle Python Developer (Big Data),3–6 лет,,
231,Python Developer (Crypto),3–6 лет,от 5 000 до 7 000 EUR на руки,Нижний Новгород
232,Quantitative Developer,1–3 года,от 400 000 руб. на руки,Москва
233,Python Разработчик в Яндекс Рассылки (remote),3–6 лет,,Санкт-Петербург
234,Разработчик на Python,1–3 года,,
235,Python QA Automation Engineer,1–3 года,от 100 000 до 120 000 руб. на руки,
236,Middle Python Developer (микросервисная архитектура),1–3 года,от 2 500 до 3 000 USD на руки,Москва
237,Python Developer,3–6 лет,от 150 000 до 250 000 руб. на руки,Москва
238,Разработчик (SQL+Python),1–3 года,,Пермь
239,Backend Python программист,1–3 года,,
240,Lead Python Developer,более 6 лет,,Москва
241,Младший инженер машинного обучения / ML Engineer Junior,не требуется,,
242,Python developer,3–6 лет,,
243,Разработчик Python (Middle/Senior),3–6 лет,,
244,,,,
245,Python Back-end Разработчик / Python Back-end Developer,1–3 года,,"Санкт-Петербург, Горьковская"
246,Ведущий разработчик (Python),3–6 лет,,Тюмень
247,Python Developer (Crypto),3–6 лет,от 5 000 до 7 000 EUR на руки,Екатеринбург
248,Разработчик python (Middle/Senior),3–6 лет,,Краснодар
249,Middle Python Developer - разработчик Пайтон,1–3 года,от 180 000 до 210 000 руб. на руки,
250,Backend разработчик Python midlle,1–3 года,,
251,Python-разработчик в команду клиентских сервисов,3–6 лет,,Воронеж
252,Программист Python (удаленно),3–6 лет,,Москва
253,Python-разработчик,3–6 лет,,Москва
254,Разработчик Python,3–6 лет,,Москва
255,Middle/Senior Python Developer,3–6 лет,,Москва
256,Junior-Middle Backend developer,1–3 года,от 120 000 руб. на руки,
257,Senior Python-разработчик,3–6 лет,,
258,Middle Python Developer,3–6 лет,до 250 000 руб. на руки,"Москва, Белорусская, Савёловская"
259,Middle Python developer,3–6 лет,от 150 000 до 200 000 руб. на руки,
260,Middle Back-end Developer (удаленно),3–6 лет,,Ташкент
261,Разработчик SQL,1–3 года,,Санкт-Петербург
262,Middle BackEnd Developer,1–3 года,,Москва
263,Python-разработчик,3–6 лет,,Челябинск
264,Senior/Программист Python,3–6 лет,от 180 000 руб. на руки,
265,Ведущий Python-developer,3–6 лет,,Ярославль
266,Python developer,3–6 лет,от 4 000 до 4 500 EUR на руки,Москва
267,"Fullstack разработчик (Python, JavaScript)",3–6 лет,от 150 000 до 200 000 руб. на руки,
268,"Программист баз данных и backend (PostgreSQL, Python)",более 6 лет,,Москва
269,Full-Stack Developer (Vue/Django),1–3 года,,Москва
270,Fullstack программист Python+Django,1–3 года,от 80 000 до 140 000 руб. на руки,Москва
271,Python Developer,1–3 года,,Алматы
272,Python разработчик (личный кабинет пользователя) (онлайн-школа Fashion Factory),1–3 года,,Москва
273,Full-stack разработчик (Python/JS),3–6 лет,до 220 000 руб. на руки,Москва
274,Ведущий разработчик Python/Django,1–3 года,,Москва
275,Разработчик Python,3–6 лет,,Астана
276,Senior Python Developer (в аккредитованную ИТ компанию),3–6 лет,до 350 000 руб. на руки,
277,Middle Python Developer,1–3 года,,Казань
278,Разработчик Python,3–6 лет,,Алматы
279,Middle Python developer,3–6 лет,от 150 000 до 200 000 руб. на руки,
280,Senior Python разработчик,3–6 лет,до 250 000 руб. на руки,Москва
281,Senior Python разработчик,3–6 лет,,Москва
282,Техлид/СТО/Fullstack developer на Python в стартап,1–3 года,от 100 000 до 250 000 руб. на руки,Москва
283,Fullstack разработчик (React / python),1–3 года,от 80 000 до 120 000 руб. на руки,
284,Python-разработчик / Middle/Senior/TechLead,1–3 года,,
285,Разработчик Python,3–6 лет,,Саратов
286,Python-разработчик,3–6 лет,,Москва
287,Python разработчик,1–3 года,,
288,Backend разработчик,1–3 года,,Москва
289,Python developer,3–6 лет,,
290,Ведущий Python разработчик (Django),3–6 лет,,Москва
291,Python BackEnd Developer,3–6 лет,,
292,Python разработчик Middle/Senior,3–6 лет,от 200 000 руб. на руки,
293,Python Разработчик / Fastapi (удаленно),3–6 лет,,Москва
294,Ведущий Python-разработчик / Senior Python Developer,3–6 лет,,
295,Python-разработчик ВИСТ Групп,3–6 лет,,
296,Разработчик Python (Middle),1–3 года,от 150 000 до 150 000 руб. на руки,
297,Инженер-программист (Python),1–3 года,,
298,Ведущий разработчик Python,3–6 лет,,Москва
299,Python Developer (Extranet Team),1–3 года,,
300,Ведущий программист Python,3–6 лет,,
301,Senior Python Developer,3–6 лет,до 350 000 руб. на руки,
302,Python Middle Backend Developer,1–3 года,от 210 000 до 230 000 руб. на руки,
303,Программист Python,1–3 года,,
304,Python Developer (Senior/Middle),3–6 лет,от 2 000 USD на руки,Минск
305,Python Developer (DS Team),3–6 лет,,
306,"Python Backend Engineer, Remote",3–6 лет,от 4 000 до 5 000 EUR на руки,Санкт-Петербург
307,Backend-разработчик (Python/Django),1–3 года,,
308,Python разработчик (Middle / Senior),3–6 лет,,Москва
309,Разработчик Perl,более 6 лет,,Москва
310,Python Backend Developer,3–6 лет,,
311,Senior backend developer (Python),более 6 лет,,Москва
312,Ментор курса по Python разработке,3–6 лет,от 100 000 до 120 000 руб. на руки,Москва
313,Python Developer,3–6 лет,,Новосибирск
314,Python Developer,3–6 лет,,
315,"Инженер по автоматизации тестирования Python, Поиск и Каталог, Личный кабинет продавца",1–3 года,,
316,Инженер-разработчик (программист Python),1–3 года,,
317,Разработчик Python в команду Data&AI,3–6 лет,,Тверь
318,Middle Python Developer (блок навигации),3–6 лет,от 130 000 руб. на руки,
319,Junior разработчик/программист в Python,не требуется,,
320,"Data Engineer (Python), remote",1–3 года,,Санкт-Петербург
321,Python-разработчик в команду клиентских сервисов,3–6 лет,,Казань
322,Инженер по автоматизации тестирования (QA Automation Engineer) (Python/JavaScript/TypeScript),1–3 года,,Алматы
323,Senior Python Developer,3–6 лет,от 6 000 USD на руки,Баку
324,Разработчик программного обеспечения,1–3 года,от 100 000 до 200 000 руб. на руки,
325,Python Developer - разработчик,3–6 лет,,
326,Python-разработчик (VK рекламные технологии),3–6 лет,,
327,Разработчик python (Middle/Senior),3–6 лет,,Москва
328,Python developer (middle),3–6 лет,,
329,Python-разработчик,1–3 года,,Москва
330,Python разработчик,3–6 лет,,Москва
331,Разработчик Python,3–6 лет,,
332,Senior Python Developer,3–6 лет,,Астана
333,Python программист (Наставник онлайн-курса по Python),1–3 года,до 80 000 руб. на руки,Москва
334,Automation QA (Python/ JavaScript),1–3 года,,Астана
335,Разработчик Python,3–6 лет,,Москва
336,Разработчик нейросетей,3–6 лет,,
337,Руководитель группы разработки (Python),3–6 лет,,
338,Python-разработчик в команду клиентских сервисов,3–6 лет,,
339,Разработчик Python (по написанию парсеров),3–6 лет,,
340,Data Engineer (Python) Middle-Senior,1–3 года,от 150 000 руб. на руки,
341,Python разработчик,1–3 года,,Москва
342,Python разработчик [Цифровой водоканал],1–3 года,,
343,Python-разработчик в Яндекс Диск,3–6 лет,,Москва
344,Python разработчик в CM.Expert (Яндекс Вертикали),3–6 лет,,Сербия
345,Middle Python Developer (Плтаформа управления флотом),3–6 лет,,
346,Программист Python (техлид),3–6 лет,,Санкт-Петербург
347,Python-разработчик в Яндекс Диск,3–6 лет,,Санкт-Петербург
348,Разработчик Python (техлид),3–6 лет,,Томск
349,Разработчик бэкэнд (Python),3–6 лет,от 150 000 руб. на руки,
350,Python Middle/Seniour Разработчик,3–6 лет,,Москва
351,Python разработчик (to Cyprus / Armenia),3–6 лет,,Москва
352,Python Developer,3–6 лет,,Астана
353,Go разработчик со знаниями Python,1–3 года,до 1 000 000 KZT на руки,
354,Разработчик Python,3–6 лет,,Санкт-Петербург
355,Разработчик Python Senior,3–6 лет,,
356,"Backend developer (C#, Python)",1–3 года,,Москва
357,Software Engineer,1–3 года,от 250 000 до 350 000 руб. на руки,Москва
358,Middle+ backend python,3–6 лет,,Волгоград
359,Middle Python Developer / Data Engineer (Python) в команду ML Space Data Catalog,1–3 года,,Москва
