,LatD," ""LatM"""," ""LatS"""," ""NS"""," ""LonD"""," ""LonM"""," ""LonS"""," ""EW"""," ""City"""," ""State""",Num
0,41,5,59," ""N""",80,39,0," ""W"""," ""Youngstown""", OH,128
1,42,52,48," ""N""",97,23,23," ""W"""," ""Yankton""", SD,127
2,46,35,59," ""N""",120,30,36," ""W"""," ""Yakima""", WA,126
3,42,16,12," ""N""",71,48,0," ""W"""," ""Worcester""", MA,125
4,43,37,48," ""N""",89,46,11," ""W"""," ""Wisconsin Dells""", WI,124
5,36,5,59," ""N""",80,15,0," ""W"""," ""Winston-Salem""", NC,123
6,49,52,48," ""N""",97,9,0," ""W"""," ""Winnipeg""", MB,122
7,39,11,23," ""N""",78,9,36," ""W"""," ""Winchester""", VA,121
8,34,14,24," ""N""",77,55,11," ""W"""," ""Wilmington""", NC,120
9,39,45,0," ""N""",75,33,0," ""W"""," ""Wilmington""", DE,119
10,48,9,0," ""N""",103,37,12," ""W"""," ""Williston""", ND,118
11,41,15,0," ""N""",77,0,0," ""W"""," ""Williamsport""", PA,117
12,37,40,48," ""N""",82,16,47," ""W"""," ""Williamson""", WV,116
13,33,54,0," ""N""",98,29,23," ""W"""," ""Wichita Falls""", TX,115
14,37,41,23," ""N""",97,20,23," ""W"""," ""Wichita""", KS,114
15,40,4,11," ""N""",80,43,12," ""W"""," ""Wheeling""", WV,113
16,26,43,11," ""N""",80,3,0," ""W"""," ""West Palm Beach""", FL,112
17,47,25,11," ""N""",120,19,11," ""W"""," ""Wenatchee""", WA,111
18,41,25,11," ""N""",122,23,23," ""W"""," ""Weed""", CA,110
19,31,13,11," ""N""",82,20,59," ""W"""," ""Waycross""", GA,109
20,44,57,35," ""N""",89,38,23," ""W"""," ""Wausau""", WI,108
21,42,21,36," ""N""",87,49,48," ""W"""," ""Waukegan""", IL,107
22,44,54,0," ""N""",97,6,36," ""W"""," ""Watertown""", SD,106
23,43,58,47," ""N""",75,55,11," ""W"""," ""Watertown""", NY,105
24,42,30,0," ""N""",92,20,23," ""W"""," ""Waterloo""", IA,104
25,41,32,59," ""N""",73,3,0," ""W"""," ""Waterbury""", CT,103
26,38,53,23," ""N""",77,1,47," ""W"""," ""Washington""", DC,102
27,41,50,59," ""N""",79,8,23," ""W"""," ""Warren""", PA,101
28,46,4,11," ""N""",118,19,48," ""W"""," ""Walla Walla""", WA,100
29,31,32,59," ""N""",97,8,23," ""W"""," ""Waco""", TX,99
30,38,40,48," ""N""",87,31,47," ""W"""," ""Vincennes""", IN,98
31,28,48,35," ""N""",97,0,36," ""W"""," ""Victoria""", TX,97
32,32,20,59," ""N""",90,52,47," ""W"""," ""Vicksburg""", MS,96
33,49,16,12," ""N""",123,7,12," ""W"""," ""Vancouver""", BC,95
34,46,55,11," ""N""",98,0,36," ""W"""," ""Valley City""", ND,94
35,30,49,47," ""N""",83,16,47," ""W"""," ""Valdosta""", GA,93
36,43,6,36," ""N""",75,13,48," ""W"""," ""Utica""", NY,92
37,39,54,0," ""N""",79,43,48," ""W"""," ""Uniontown""", PA,91
38,32,20,59," ""N""",95,18,0," ""W"""," ""Tyler""", TX,90
39,42,33,36," ""N""",114,28,12," ""W"""," ""Twin Falls""", ID,89
40,33,12,35," ""N""",87,34,11," ""W"""," ""Tuscaloosa""", AL,88
41,34,15,35," ""N""",88,42,35," ""W"""," ""Tupelo""", MS,87
